Datetime,Close,High,Low,Open,Volume
2026-05-04 15:20:00+05:30,24111.69921875,24134.599609375,24110.69921875,24127.44921875,0
2026-05-04 15:25:00+05:30,24123.80078125,24128.69921875,24110.19921875,24116.849609375,0
2026-05-05 09:15:00+05:30,24064.19921875,24070.099609375,23949.75,24049.55078125,0
2026-05-05 09:20:00+05:30,24026.55078125,24067.80078125,24024.150390625,24062.05078125,0
2026-05-05 09:25:00+05:30,23992.05078125,24031.599609375,23977.650390625,24027.900390625,0
2026-05-05 09:30:00+05:30,24042.75,24043.599609375,23988.099609375,23990.599609375,0
2026-05-05 09:35:00+05:30,24022.150390625,24060.55078125,24020.599609375,24042.05078125,0
2026-05-05 09:40:00+05:30,24013.75,24027.80078125,24000.94921875,24022.0,0
2026-05-05 09:45:00+05:30,24036.05078125,24041.55078125,24005.849609375,24013.55078125,0
2026-05-05 09:50:00+05:30,24047.900390625,24055.44921875,24023.75,24036.55078125,0
2026-05-05 09:55:00+05:30,24043.05078125,24054.849609375,24032.30078125,24047.19921875,0
2026-05-05 10:00:00+05:30,24012.44921875,24053.900390625,24001.75,24042.55078125,0
2026-05-05 10:05:00+05:30,23994.599609375,24015.0,23987.150390625,24011.44921875,0
2026-05-05 10:10:00+05:30,23986.0,24002.94921875,23978.5,23994.599609375,0
2026-05-05 10:15:00+05:30,23986.94921875,23987.25,23970.099609375,23986.099609375,0
2026-05-05 10:20:00+05:30,23979.05078125,23994.44921875,23967.150390625,23987.30078125,0
2026-05-05 10:25:00+05:30,23954.400390625,23980.30078125,23945.19921875,23978.5,0
2026-05-05 10:30:00+05:30,23941.349609375,23966.80078125,23939.0,23952.19921875,0
2026-05-05 10:35:00+05:30,23941.349609375,23947.44921875,23922.900390625,23941.400390625,0
2026-05-05 10:40:00+05:30,23937.94921875,23947.25,23932.0,23941.19921875,0
2026-05-05 10:45:00+05:30,23947.0,23950.30078125,23935.5,23937.25,0
2026-05-05 10:50:00+05:30,23928.69921875,23949.75,23920.099609375,23946.0,0
2026-05-05 10:55:00+05:30,23925.94921875,23930.80078125,23916.150390625,23929.69921875,0
2026-05-05 11:00:00+05:30,23951.900390625,23952.75,23915.25,23925.150390625,0
2026-05-05 11:05:00+05:30,23926.80078125,23950.849609375,23921.44921875,23949.19921875,0
2026-05-05 11:10:00+05:30,23939.0,23949.55078125,23926.150390625,23927.44921875,0
2026-05-05 11:15:00+05:30,23935.05078125,23961.55078125,23934.19921875,23937.80078125,0
2026-05-05 11:20:00+05:30,23931.94921875,23938.599609375,23924.349609375,23934.25,0
2026-05-05 11:25:00+05:30,23935.150390625,23940.150390625,23929.44921875,23932.0,0
2026-05-05 11:30:00+05:30,23950.849609375,23958.94921875,23933.75,23935.30078125,0
2026-05-05 11:35:00+05:30,23939.94921875,23966.75,23938.44921875,23950.25,0
2026-05-05 11:40:00+05:30,23916.05078125,23941.0,23916.05078125,23940.25,0
2026-05-05 11:45:00+05:30,23904.400390625,23919.19921875,23892.400390625,23915.400390625,0
2026-05-05 11:50:00+05:30,23891.599609375,23916.599609375,23888.5,23902.69921875,0
2026-05-05 11:55:00+05:30,23888.94921875,23899.25,23883.5,23890.44921875,0
2026-05-05 12:00:00+05:30,23899.55078125,23905.55078125,23888.150390625,23888.150390625,0
2026-05-05 12:05:00+05:30,23919.599609375,23926.25,23899.44921875,23900.30078125,0
2026-05-05 12:10:00+05:30,23946.44921875,23949.30078125,23919.0,23919.0,0
2026-05-05 12:15:00+05:30,23954.75,23956.5,23943.599609375,23945.94921875,0
2026-05-05 12:20:00+05:30,23967.25,23977.94921875,23950.150390625,23954.599609375,0
2026-05-05 12:25:00+05:30,23943.19921875,23974.25,23940.849609375,23967.80078125,0
2026-05-05 12:30:00+05:30,23955.400390625,23958.69921875,23933.80078125,23943.900390625,0
2026-05-05 12:35:00+05:30,23961.94921875,23973.19921875,23949.400390625,23954.5,0
2026-05-05 12:40:00+05:30,23952.849609375,23974.44921875,23951.25,23962.5,0
2026-05-05 12:45:00+05:30,23978.099609375,23983.69921875,23952.55078125,23952.55078125,0
2026-05-05 12:50:00+05:30,23983.150390625,23996.55078125,23977.599609375,23977.599609375,0
2026-05-05 12:55:00+05:30,24011.900390625,24014.25,23978.599609375,23983.599609375,0
2026-05-05 13:00:00+05:30,24019.80078125,24025.849609375,24010.650390625,24012.599609375,0
2026-05-05 13:05:00+05:30,24065.80078125,24075.05078125,24014.80078125,24018.94921875,0
2026-05-05 13:10:00+05:30,24068.80078125,24079.0,24052.44921875,24066.349609375,0
2026-05-05 13:15:00+05:30,24040.400390625,24080.94921875,24037.0,24067.349609375,0
2026-05-05 13:20:00+05:30,24041.400390625,24059.44921875,24031.94921875,24041.69921875,0
2026-05-05 13:25:00+05:30,24039.94921875,24048.400390625,24030.599609375,24039.75,0
2026-05-05 13:30:00+05:30,24024.650390625,24041.599609375,24016.650390625,24041.400390625,0
2026-05-05 13:35:00+05:30,24037.75,24047.55078125,24022.099609375,24025.900390625,0
2026-05-05 13:40:00+05:30,24050.44921875,24056.69921875,24033.099609375,24037.099609375,0
2026-05-05 13:45:00+05:30,24045.80078125,24062.150390625,24037.80078125,24051.150390625,0
2026-05-05 13:50:00+05:30,24030.25,24050.30078125,24020.5,24045.55078125,0
2026-05-05 13:55:00+05:30,24038.099609375,24054.5,24029.25,24030.55078125,0
2026-05-05 14:00:00+05:30,24029.150390625,24047.80078125,24022.349609375,24035.849609375,0
2026-05-05 14:05:00+05:30,24016.30078125,24033.25,24009.099609375,24028.69921875,0
2026-05-05 14:10:00+05:30,24016.80078125,24029.5,24002.150390625,24016.0,0
2026-05-05 14:15:00+05:30,24037.150390625,24042.150390625,24013.099609375,24017.19921875,0
2026-05-05 14:20:00+05:30,24035.30078125,24048.55078125,24026.30078125,24037.19921875,0
2026-05-05 14:25:00+05:30,24058.30078125,24061.0,24031.75,24036.099609375,0
2026-05-05 14:30:00+05:30,24036.150390625,24060.650390625,24028.30078125,24059.30078125,0
2026-05-05 14:35:00+05:30,24034.650390625,24045.900390625,24019.400390625,24034.849609375,0
2026-05-05 14:40:00+05:30,24042.099609375,24047.25,24023.69921875,24034.55078125,0
2026-05-05 14:45:00+05:30,24024.30078125,24045.80078125,24017.05078125,24041.55078125,0
2026-05-05 14:50:00+05:30,24020.69921875,24033.55078125,23999.599609375,24024.150390625,0
2026-05-05 14:55:00+05:30,24010.80078125,24028.900390625,24008.400390625,24020.349609375,0
2026-05-05 15:00:00+05:30,24013.19921875,24025.30078125,23999.80078125,24011.900390625,0
2026-05-05 15:05:00+05:30,24031.599609375,24036.44921875,23997.849609375,24015.650390625,0
2026-05-05 15:10:00+05:30,24041.650390625,24043.849609375,24019.5,24033.19921875,0
2026-05-05 15:15:00+05:30,24050.44921875,24052.80078125,24040.80078125,24044.0,0
